path,type,purpose,used_by,status,risk_level,recommendation,notes
tools/test-p1-5-contract-otp-signature.php,test,Contract OTP uses central helper,P1.5 QA,active,low,KEEP,
tools/test-p4-customer-approval-otp.php,test,Estimate OTP central helper,P4 QA,active,low,KEEP,
tools/test-p7-customer-delivery-signature-otp.php,test,Delivery OTP central helper,P7 QA,active,low,KEEP,
docs/audit/MOGHARE360_GITHUB_COMPLETION_AUDIT_REPORT.md,doc,P11 OTP architecture summary; points to private/m360-otp-config.php,Operators,active,low,KEEP,Accurate canonical path
docs/dry-run/P11_9_A_OTP_DEFERRAL_PROTOCOL.md,doc,OTP deferral when config absent,Dry-run planning,active,low,KEEP,
docs/release/MOGHARE360_V1_FINAL_SECURITY_EXCLUSIONS.md,doc,Secrets exclusion policy for OTP config,Release,active,low,KEEP,
docs/audit/MOGHARE360_P11_9_0_ONE_DAY_RUN_DRY_RUN_READINESS_DISCOVERY_REPORT.md,doc,Notes private OTP config absent on host,Discovery,active,low,KEEP,
docs/audit/MOGHARE360_P11_8_C_0_ROUTE_MAP_OPERATIONAL_SAFETY_DISCOVERY_REPORT.md,doc,Lists customer OTP API routes unauthenticated,Route map,active,low,KEEP,API routes intentionally public POST
docs/audit/MOGHARE360_P11_9_B_FIX_C_PUBLIC_ENTRY_ROUTER_SCOPE_REPORT.md,doc,Notes legacy customer-login uses config.php,Router scope,possibly_outdated,medium,KEEP_BUT_FIX,Legacy path called out correctly
dist/moghare360-v1-local-demo-rc/**,archive_duplicate,Packaged demo copy of OTP files,Local demo only,archive,low,DEPRECATE,Not runtime canonical; mirror of public_html
release/_cpanel_public_*/*,archive_duplicate,Historical cPanel staging copies of OTP routes,Deploy archives,archive,low,REMOVE_LATER,Duplicates; do not wire
release/moghare360-v1-production-installer/**,archive_duplicate,Installer bundle OTP copies,Installer,archive,low,DEPRECATE,
.gitignore,policy,Ignores private/m360-otp-config.php and mirror-config.php,Git,active,low,KEEP,Prevents secret commit
